lat,lon,timestamp,amenity,name,food,medical,gathering,transport,notable,tag_count
49.261590600000005,-123.06960649999999,2018-03-14T01:13:25.000-07:00,fast_food,Fresh Slice,1,0,0,0,0,2
49.046078,-122.2864362,2015-12-13T01:13:49.000-08:00,recycling,,0,0,0,0,0,3
49.185910799999995,-122.84857579999999,2019-08-29T19:49:18.000-07:00,bench,,0,0,0,0,0,0
49.3266532,-122.95097990000001,2019-12-21T16:15:38.000-08:00,cafe,Cove Creek Gallery and Cappuccino Bar,0,0,1,0,0,3
49.2255268,-123.10186029999998,2019-09-13T13:57:05.000-07:00,cafe,Tim Hortons,1,0,0,0,1,8
49.1658052,-123.14790479999999,2020-03-08T01:01:52.000-08:00,bench,,0,0,0,0,1,5
49.2121193,-122.9234503,2019-07-10T04:41:29.000-07:00,cafe,Starbucks,1,0,0,0,0,8
49.103294399999996,-122.65616729999999,2019-12-22T06:06:19.000-08:00,police,Langley RCMP (City CPO),0,0,0,0,0,2
49.2289198,-122.8502476,2018-03-04T06:02:28.000-08:00,waste_basket,,0,0,0,0,0,0
49.0462119,-122.34454709999999,2016-12-21T14:01:34.000-08:00,place_of_worship,Freshwind Christian Fellowship,0,0,1,0,0,3
49.2434763,-123.1064425,2020-03-11T21:15:58.000-07:00,bench,,0,0,1,0,1,7
49.049754,-122.33505179999999,2018-06-20T15:11:01.000-07:00,fast_food,Vegetarian Delite Bakery & Delta Pizza,1,0,1,0,0,9
49.208117,-122.9097132,2019-08-26T00:44:51.000-07:00,drinking_water,,0,0,0,0,0,0
49.0901287,-122.60466869999999,2019-07-12T07:49:23.000-07:00,fast_food,Subway,1,0,0,0,0,6
49.2639792,-123.1673497,2020-06-23T00:31:37.000-07:00,bench,Bus Stop #50319,0,0,0,0,0,6
49.30769960000001,-123.08079640000001,2017-05-19T20:05:28.000-07:00,bench,,0,0,0,0,0,0
49.3495273,-123.02077879999999,2016-09-26T02:15:43.000-07:00,waste_basket,,0,0,0,0,0,0
49.055263200000006,-122.865055,2017-08-14T20:56:54.000-07:00,bench,,0,0,0,0,0,1
49.2801999,-123.1182707,2020-03-08T23:06:19.000-07:00,fast_food,Japadog,1,0,1,0,1,8
49.279143,-123.23323590000001,2017-08-02T04:33:37.000-07:00,bench,,0,0,0,0,0,0
49.232602500000006,-123.0906357,2019-03-20T03:27:09.000-07:00,bench,,0,0,1,0,1,7
49.1321211,-123.09522820000001,2020-01-15T21:08:34.000-08:00,fast_food,Five Guys,1,0,0,0,1,14
49.221893200000004,-123.15633400000002,2019-12-26T21:52:59.000-08:00,post_box,,0,0,0,0,0,1
49.1060069,-123.07805400000001,2010-03-11T08:28:36.000-08:00,post_box,,0,0,0,0,0,2
49.3427398,-123.053881,2010-11-10T09:27:32.000-08:00,bench,,0,0,0,0,0,0
49.2288348,-123.0047566,2012-05-09T11:01:31.000-07:00,marketplace,,0,0,0,0,0,0
49.043615,-122.319065,2016-08-21T04:56:48.000-07:00,bench,,0,0,1,0,0,1
49.264303999999996,-123.1741176,2019-03-22T18:46:23.000-07:00,bench,,0,0,0,0,1,5
49.1920282,-122.85106509999999,2016-11-04T04:59:11.000-07:00,parking_entrance,,0,0,0,0,0,1
